GWAS Summary Data	Links
UKB_1160_Sleep_duration	http://biobank.ctsu.ox.ac.uk/
UKB_G43_Diagnoses_main_ICD10_G43_Migraine	http://biobank.ctsu.ox.ac.uk/
UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	http://biobank.ctsu.ox.ac.uk/
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	http://biobank.ctsu.ox.ac.uk/
UKB_6152_8_diagnosed_by_doctor_Asthma	http://biobank.ctsu.ox.ac.uk/
UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	http://biobank.ctsu.ox.ac.uk/
UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	http://biobank.ctsu.ox.ac.uk/
UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	http://biobank.ctsu.ox.ac.uk/
UKB_50_Standing_height	http://biobank.ctsu.ox.ac.uk/
UKB_3526_Mothers_age_at_death	http://biobank.ctsu.ox.ac.uk/
UKB_2395_4_Hair_or_balding_pattern_Pattern_4	http://biobank.ctsu.ox.ac.uk/
UKB_2395_3_Hair_or_balding_pattern_Pattern_3	http://biobank.ctsu.ox.ac.uk/
UKB_2395_2_Hair_or_balding_pattern_Pattern_2	http://biobank.ctsu.ox.ac.uk/
UKB_23099_Body_fat_percentage	http://biobank.ctsu.ox.ac.uk/
UKB_21001_Body_mass_index_BMI	http://biobank.ctsu.ox.ac.uk/
UKB_20127_Neuroticism_score	http://biobank.ctsu.ox.ac.uk/
UKB_20022_Birth_weight	http://biobank.ctsu.ox.ac.uk/
UKB_20016_Fluid_intelligence_score	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1616_self_reported_insomnia	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1473_self_reported_high_cholesterol	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1466_self_reported_gout	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1464_self_reported_rheumatoid_arthritis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1463_self_reported_ulcerative_colitis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1462_self_reported_crohns_disease	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1461_self_reported_inflammatory_bowel_disease	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1453_self_reported_psoriasis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1452_self_reported_eczema_or_dermatitis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1313_self_reported_ankylosing_spondylitis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1309_self_reported_osteoporosis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1289_self_reported_schizophrenia	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1265_self_reported_migraine	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1262_self_reported_parkinsons_disease	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1261_self_reported_multiple_sclerosis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1223_self_reported_type_2_diabetes	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1222_self_reported_type_1_diabetes	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1154_self_reported_irritable_bowel_syndrome	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1111_self_reported_asthma	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	http://biobank.ctsu.ox.ac.uk/
UKB_20002_1065_self_reported_hypertension	http://biobank.ctsu.ox.ac.uk/
UKB_1807_Fathers_age_at_death	http://biobank.ctsu.ox.ac.uk/
UKB_1200_Sleeplessness_or_insomnia	http://biobank.ctsu.ox.ac.uk/
UKB_1180_Morning_or_evening_person_chronotype	http://biobank.ctsu.ox.ac.uk/
TAGC_Asthma_EUR	https://www.ebi.ac.uk/gwas/downloads
tag.evrsmk.tbl	https://www.med.unc.edu/pgc/results-and-downloads
SSGAC_Education_Years_Pooled	https://www.thessgac.org
SSGAC_Depressive_Symptoms	https://www.thessgac.org
RA_OKADA_TRANS_ETHNIC	http://plaza.umin.ac.jp/yokada/datasource/software.htm
PGC_ASD_2017_CEU	https://www.med.unc.edu/
PGC_ADHD_EUR_2017	https://www.med.unc.edu/
pgc.scz2	https://www.med.unc.edu/pgc/downloads
MAGNETIC_LDL.C	http://www.computationalmedicine.fi/data#NMR_GWAS
MAGNETIC_IDL.TG	http://www.computationalmedicine.fi/data#NMR_GWAS
MAGNETIC_HDL.C	http://www.computationalmedicine.fi/data#NMR_GWAS
MAGNETIC_CH2.DB.ratio	http://www.computationalmedicine.fi/data#NMR_GWAS
MAGIC_ln_FastingInsulin	http://www.magicinvestigators.org/downloads/
MAGIC_FastingGlucose	http://www.magicinvestigators.org/downloads/
Jones_et_al_2016_SleepDuration	http://www.t2diabetesgenes.org/data/
Jones_et_al_2016_Chronotype	http://www.t2diabetesgenes.org/data/
ISGC_Malik_2016_METASTROKE_all_strokes	http://cerebrovascularportal.org
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	https://www.immunobase.org/downloads/protected_data/GWAS_Data/
IMMUNOBASE_Multiple_sclerosis_hg19	https://www.immunobase.org/downloads/protected_data/GWAS_Data/
IMMUNOBASE_Celiac_disease_hg19	https://www.immunobase.org/downloads/protected_data/GWAS_Data/
ILAE_Genetic_generalised_epilepsy	http://www.epigad.org/gwas_ilae2014/
IGAP_Alzheimer	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php
ICBP_SystolicPressure	http://www.georgehretlab.org/icbp_088023401234-9812599.html
ICBP_DiastolicPressure	http://www.georgehretlab.org/icbp_088023401234-9812599.html
IBD.EUR.Ulcerative_Colitis	http://www.ibdgenetics.org/
IBD.EUR.Inflammatory_Bowel_Disease	http://www.ibdgenetics.org/
IBD.EUR.Crohns_Disease	http://www.ibdgenetics.org/
HRGene_HeartRate	https://walker05.u.hpc.mssm.edu/
GPC-NEO-NEUROTICISM	http://www.tweelingenregister.org/GPC/
GLGC_Mc_TG	http://csg.sph.umich.edu//abecasis/public/lipids2013/
GLGC_Mc_LDL	http://csg.sph.umich.edu//abecasis/public/lipids2013/
GLGC_Mc_HDL	http://csg.sph.umich.edu//abecasis/public/lipids2013/
GIANT_WHR_Combined_EUR	http://www.broadinstitute.org/collaboration/giant/index.php/GIANT_consortium_data_files
GIANT_WC_Combined_EUR	http://www.broadinstitute.org/collaboration/giant/index.php/GIANT_consortium_data_files
GIANT_HIP_Combined_EUR	http://www.broadinstitute.org/collaboration/giant/index.php/GIANT_consortium_data_files
GIANT_HEIGHT	http://www.broadinstitute.org/collaboration/giant/index.php/GIANT_consortium_data_files
GIANT_2017_BMI_Active_EUR	http://portals.broadinstitute.org/collaboration/giant
GIANT_2015_BMI_EUR	http://www.broadinstitute.org/collaboration/giant/index.php/GIANT_consortium_data_files
GEFOS_Forearm	http://www.gefos.org/?q=content/data-release-2015
GABRIEL_Asthma	http://www.cng.fr/gabriel/results.html
ENIGMA_Intracraneal_Volume	http://enigma.usc.edu/
EGG_Pubertal_growth_12M	http://egg-consortium.org/
EGG_Pubertal_growth_10F	http://egg-consortium.org/
EGG_BW3_EUR	http://egg-consortium.org/
EGG_BMI_HapMapImputed	http://egg-consortium.org/
EGG_BL	http://egg-consortium.org/
EAGLE_Eczema	https://data.bris.ac.uk/data/dataset/28uchsdpmub118uex26ylacqm
DIAGRAM_T2D_TRANS_ETHNIC	http://diagram-consortium.org/downloads.html
CNCR_Insomnia_all	https://ctg.cncr.nl/
CKDGen_Chronic_Kidney_Disease	https://fox.nhlbi.nih.gov/CKDGen/
CARDIoGRAM_C4D_CAD_ADDITIVE	http://www.cardiogramplusc4d.org/downloads/
BCAC_Overall_BreastCancer_EUR	http://bcac.ccge.medschl.cam.ac.uk/
BCAC_ER_positive_BreastCancer_EUR	http://bcac.ccge.medschl.cam.ac.uk/
BCAC_ER_negative_BreastCancer_EUR	http://bcac.ccge.medschl.cam.ac.uk/
Astle_et_al_2016_White_blood_cell_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Sum_eosinophil_basophil_counts	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Sum_basophil_neutrophil_counts	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Reticulocyte_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Red_blood_cell_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Platelet_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Neutrophil_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Myeloid_white_cell_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Monocyte_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Lymphocyte_counts	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_High_light_scatter_reticulocyte_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Granulocyte_count	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
Astle_et_al_2016_Eosinophil_counts	http://www.ebi.ac.uk/gwas/downloads/summary-statistics
ADIPOGen_Adiponectin	http://www.mcgill.ca/genepi/adipogen-consortium
